"X","Y","Year","Month Number","Basal area"
574250.188314021,2456471.28623355,2003,5,48.8906489630694
553205.555013232,2493695.03189143,2003,2,0
552478.188285492,2457336.60659667,2003,12,0
564106.429883949,2491352.7294014,2003,9,0
544457.797673084,2498617.39670727,2003,4,116.066248635923
557377.678409256,2472799.2888166,2003,3,68.621456180273
533031.277183369,2470304.31779426,2003,1,66.3716114384574
545536.733366959,2476556.12437386,2003,11,14.7577724393111
569489.121020772,2478371.58525974,2003,6,123.801042038304
534030.561285764,2476800.53024504,2003,12,58.7273320889469
579539.756476991,2460400.23172878,2003,10,29.9741616913606
573683.158876263,2488947.70972423,2003,1,101.20679402469
535566.236700453,2463130.53550884,2003,9,34.9698742093568
570917.327233292,2487272.79167134,2003,5,23.4570555113208
566189.060684703,2491726.51739351,2003,6,76.0715263579521
572842.738127187,2476351.08185731,2003,7,70.7254565752859
559973.861859441,2494788.63134302,2003,4,124.02959847914
546784.418708123,2482632.00497136,2003,7,40.8049294101009
565184.907255583,2471457.89166909,2003,9,106.487222726255
573832.203848697,2490266.38357472,2003,5,76.2585458746311
534569.9709443,2498919.11904901,2003,6,68.2004008716287
569721.805095971,2488563.8707589,2003,2,60.2930607106884
556967.204486802,2462701.3865272,2003,2,179.103109856765
553717.953732647,2459518.29474576,2003,4,126.897991132136
548928.816604167,2497052.75664426,2003,3,0
533098.683517724,2466784.60172981,2003,1,23.4825040488991
533155.092223585,2483229.81160421,2003,12,0
551831.979755871,2469452.12165039,2003,8,77.457084955098
579100.245324858,2467650.575395,2003,11,59.7938657828249
543467.0383377,2494090.43093655,2003,1,25.4987856319531
547519.156298004,2494750.7148923,2003,3,96.5903659183805
574461.306889951,2478183.82796571,2003,3,0
572073.047987334,2478323.43221273,2003,9,93.4343841271398
550792.402009182,2452977.5757765,2003,8,0
562312.082031146,2465895.90390336,2004,8,115.974797579156
564410.675086342,2453791.23350527,2004,10,55.2779716892756
572536.588314548,2491533.35203901,2004,4,146.176250121707
551075.286029242,2474472.64111724,2004,9,0
534931.020405516,2480196.64828356,2004,11,0
576721.549152844,2486959.68050059,2004,7,0
574037.316377945,2475086.27978027,2004,9,119.85218116395
550423.677624911,2465375.05504068,2004,11,40.2604670418426
555755.571745187,2467760.52311957,2004,12,34.8847166745168
543577.928745411,2473574.69724759,2004,8,31.3526892368076
533076.891982444,2484085.15000936,2004,6,0
577791.050853319,2452768.19239702,2004,2,85.4206555890955
539085.434546806,2483305.98096352,2004,9,0
562141.105943061,2472220.81541914,2004,9,44.4111405810153
542514.081966095,2494235.93153071,2004,9,98.5091813537199
565488.088070713,2452656.41873956,2004,6,50.7810117689455
541336.190095805,2487223.71356744,2004,3,0
540178.25383354,2485619.0978938,2004,4,0
533795.911582075,2487760.61709337,2004,8,11.9166150368833
561270.257985704,2484830.21924071,2004,8,0
532091.42899476,2471781.71648622,2004,8,0
560296.468374319,2452746.55026168,2004,8,61.1477129693334
561833.350780495,2496597.78399952,2004,7,57.6862337616048
540753.073942959,2454775.39314412,2004,10,0
559726.506391503,2485900.49060218,2004,10,14.5294858891283
552864.550388977,2491333.719588,2004,9,0
568092.209144868,2479929.01676096,2005,8,92.4496187321794
543588.464396819,2484093.87592528,2005,5,0
546298.212207556,2472936.32013608,2005,10,7.11770403729469
572210.071547069,2493916.92430653,2005,9,0
549213.466809578,2453284.77792848,2005,4,0
559080.055000484,2490778.85894999,2005,9,47.9250366615767
559329.94815398,2463287.98491433,2005,11,127.510884425189
538930.277932696,2463698.81841976,2005,6,49.264386434683
532409.377189167,2467132.40497384,2005,5,0
555825.212754495,2488995.74677888,2005,9,73.4131569478124
538154.493910968,2475966.72114108,2005,3,0
537853.951566182,2462430.12933515,2005,12,40.8745765676129
532430.231886059,2462264.63040505,2005,11,0
542995.971045345,2468069.67449643,2005,7,0
556727.633852363,2465244.67365976,2005,3,30.6429235366303
550242.23331593,2474750.08656815,2005,4,0
545776.510944888,2494878.55469611,2005,1,41.4185137947676
532544.954438433,2466605.67567971,2005,1,40.2686077811046
570655.746552497,2477439.21282329,2005,7,231.666484312589
